Bar,%,Total votes
The Dutch Trading Co. (DTC),20.80%,280
Petition Beer Corner,19.30%,260
Sail & Anchor Hotel,5.10%,69
Clancy's Fish Pub Fremantle,4.80%,65
Caboose,4.00%,54
Belgian Beer Cafe,3.00%,40
Bob's Bar,2.10%,28
Clancy's Fish Pub Dunsborough,2.00%,27
Norfolk Hotel,2.00%,27
The Pour House Bar + Kitchen,1.60%,22
The Generous Squire,1.60%,21
Baby Mammoth,1.40%,19
Clancy's Fish Pub Canning Bridge,1.40%,19
The Mechanics Institute,1.40%,19
El Grotto,1.30%,17
The Monk,1.20%,16
Duckstein Brewery,1.00%,14
The Firestation Specialty Beer and Wine Bar,1.00%,14
Balmoral Hotel,1.00%,13